2018-09-25	2781.14	-0.58%	8353.38	-0.66%	-90.93亿	-3.80%	-30.88亿	-1.29%	-60.05亿	-2.51%	2.30亿	0.10%	88.63亿	3.71%
2018-09-21	2797.48	2.50%	8409.18	2.13%	119.40亿	3.69%	118.93亿	3.68%	0.47亿	0.01%	-79.93亿	-2.47%	-39.47亿	-1.22%
2018-09-20	2729.24	-0.06%	8233.89	-0.17%	-48.98亿	-1.95%	-5.05亿	-0.20%	-43.93亿	-1.75%	-27.06亿	-1.07%	76.03亿	3.02%
2018-09-19	2730.85	1.14%	8248.12	1.41%	88.85亿	2.75%	69.09亿	2.14%	19.76亿	0.61%	-54.41亿	-1.68%	-34.44亿	-1.06%
2018-09-18	2699.95	1.82%	8133.22	1.67%	52.82亿	2.03%	47.59亿	1.83%	5.23亿	0.20%	-44.30亿	-1.71%	-8.52亿	-0.33%
2018-09-17	2651.79	-1.11%	7999.35	-1.41%	-81.26亿	-3.83%	-18.46亿	-0.87%	-62.80亿	-2.96%	-25.09亿	-1.18%	106.35亿	5.01%
2018-09-14	2681.64	-0.18%	8113.88	-0.61%	-93.65亿	-3.67%	-23.36亿	-0.91%	-70.29亿	-2.75%	-16.38亿	-0.64%	110.03亿	4.31%
2018-09-13	2686.58	1.15%	8163.76	0.65%	-53.99亿	-2.03%	-14.91亿	-0.56%	-39.08亿	-1.47%	-14.55亿	-0.55%	68.54亿	2.58%
2018-09-12	2656.11	-0.33%	8111.16	-0.70%	-78.87亿	-3.48%	-31.01亿	-1.37%	-47.86亿	-2.11%	0.95亿	0.04%	77.91亿	3.44%
2018-09-11	2664.80	-0.18%	8168.10	0.12%	-70.60亿	-3.10%	-17.82亿	-0.78%	-52.78亿	-2.32%	-6.94亿	-0.30%	77.54亿	3.40%
2018-09-10	2669.48	-1.21%	8158.49	-1.97%	-164.13亿	-6.44%	-61.23亿	-2.40%	-102.91亿	-4.04%	-3.13亿	-0.12%	167.26亿	6.56%
2018-09-07	2702.30	0.40%	8322.36	-0.02%	-61.30亿	-2.23%	-18.06亿	-0.66%	-43.24亿	-1.57%	-14.92亿	-0.54%	76.22亿	2.77%
2018-09-06	2691.59	-0.47%	8324.16	-0.93%	-96.71亿	-3.83%	-32.17亿	-1.27%	-64.55亿	-2.56%	-0.87亿	-0.03%	97.58亿	3.87%
2018-09-05	2704.34	-1.68%	8402.51	-1.78%	-130.26亿	-4.87%	-51.13亿	-1.91%	-79.13亿	-2.96%	-3.32亿	-0.12%	133.57亿	5.00%
2018-09-04	2750.58	1.10%	8554.44	1.17%	36.66亿	1.33%	41.57亿	1.51%	-4.91亿	-0.18%	-33.45亿	-1.21%	-3.21亿	-0.12%
2018-09-03	2720.73	-0.17%	8455.55	-0.12%	-69.91亿	-2.83%	-22.35亿	-0.90%	-47.55亿	-1.92%	-22.40亿	-0.91%	92.31亿	3.73%
